id,subject,question,choice_ア,choice_イ,choice_ウ,answer,explanation,correct_rate_insta,correct_rate_x,tweet_id_mondai,tweet_id_kaitou,date
37,企業経営理論,"機能別組織のメリットとして、
最も不適切なものはどれ？",現場に合わせた迅速な意思決定がしやすい,専門化や標準化を行いやすい,規模の経済性とも相性が良い,ア,"機能別組織は「製造・販売・人事・財務」など機能ごとに専門性を高める組織形態。

•❌A：迅速な意思決定は難しい。現場判断よりも本社機能が強く、階層的になるため。…",32,64,1.96843E+18,1.9688E+18,2025/9/17
38,企業経営理論,マトリックス組織の特徴として、最も適切なものはどれ？,環境の不確実性に対応しやすい,情報の共有はしにくい,規模の経済性とも相性が良い,ア,マトリックス組織は、機能別組織と事業部制組織を組み合わせた柔軟な組織形態。環境変化が激しい場面で力を発揮します。…,77,80,1.96988E+18,1.97025E+18,2025/9/21
39,企業経営理論,取引コストが上がる要因として、最も不適切なものはどれ？,環境の不確実性が大きい,取引当事者間の情報の非対称性が小さい,取引当事者間の機会主義的な行動が多い,イ,取引コストとは、契約の締結・監視・調整にかかるコストのこと。環境が不確実だったり、相手が利己的に振る舞ったりすると上昇します。…,58,55,1.97097E+18,1.97133E+18,2025/9/24
40,企業経営理論,コンフリクト（対立）の発生要因として、最も不適切なものはどれ？,タスクの確実性が高い,担当者間の相互依存性が高い,関係者間でパワーを確保しようとする場合,ア,"組織におけるコンフリクトは、主に「不確実性・相互依存性・パワー争い」などから生じます。

•❌A：タスクの確実性が高いならむしろ対立は起きにくい。逆に「不確実性」が高いと衝突しやすい。…",56,55,1.97351E+18,1.97388E+18,2025/10/1
41,企業経営理論,強い組織文化が作られる要因として、最も不適切なものはどれ？,メンバーの同質性は低く、多様性が高い,組織内のタスクの相互依存度が高い,会社主催の行事を積極的に行っている,ア,強い組織文化が形成されるのは、価値観や行動規範が組織内で共有されているとき。メンバーの同質性が高く、相互のつながりが強いことが土台になります。…,45,36,1.97496E+18,1.97532E+18,2025/10/5
42,企業経営理論,"就業規則に関する記述として、
最も適切なものはどれ？",作成の際には所轄労働基準監督署の認可が必要,常時5人以上の労働者を使用する事業場は作成義務,退職手当については、相対的必要記載事項である,ウ,就業規則は、労働条件や職場のルールを定める会社の基本規程です。労働基準法により、常時10人以上の労働者を使用する使用者に作成・届出義務があります。…,48,75,1.97605E+18,1.97641E+18,2025/10/8
43,企業経営理論,労働基準法で定める休憩・休日において、最も正しいものはどれ？,A. 8時間労働の場合には1時間の休憩が必要,B. 毎週2回以上の休日を与えなければならない,C. 時間外労働の限度時間は、原則月45時間,ウ,•❌A：「8時間を超えると1時間以上」の休憩が必要。8時間ちょうどなら45分以上でOK。…,35,40,1.97786E+18,1.97822E+18,2025/10/13
44,企業経営理論,関与が高まる要因として、最も不適切なものはどれ？,価格が高い,購買頻度が高い,所有することによって社会的評価に影響を与える,イ,"消費者の「関与」とは、その購買や商品にどれだけ関心・重要性を感じるかを指します。
•✅A：価格が高い商品ほど、失敗したくない心理が働き、関与は高くなる。…",49,50,1.97858E+18,1.97894E+18,2025/10/15
45,企業経営理論,準拠集団の説明として、最も不適切なものはどれ？,自分が所属したい、または所属している集団のみ,自己表出的影響は、自己概念を高めることに影響,公的なものはブランド選択の影響が強い,ア,"準拠集団とは、消費者の態度や購買行動に影響を与える集団のこと。
「所属集団」や「願望集団」だけでなく、「拒否集団」も含まれる点がポイントです。…",55,44,1.98003E+18,1.98039E+18,2025/10/19
46,企業経営理論,初期低価格政策の特徴として、最も適切なものはどれ？,市場の価格弾力性が低い,累積生産量を多くすることも一つの狙い,革新的な消費者の取り込みを狙う,イ,…,75,92,1.98112E+18,1.98148E+18,2025/10/22
47,企業経営理論,価格バンドリングの特徴として、最も不適切なものはどれ？,無関係な商品の組み合わせも含まれる,代替的な商品の組み合わせも含まれる,内的な参照価格が下がらない施策である,イ,"価格バンドリングとは、複数の商品をセットで販売する価格戦略のこと。
お得感を出して購買意欲を高める狙いがあります。
•✅A：正しい。無関係な商品でも販売促進目的でセットにすることがある。…",41,59,1.98293E+18,1.98329E+18,2025/10/27
48,不明,下記の表記の中で、最も不適切なものはどれ？,固定費が上がると、損益分岐点売上高は上がる,変動費が下がると、損益分岐点売上高は上がる,損益分岐点比率が低いほど、安全性が高い,イ,,52,64,1.99018E+18,1.99054E+18,2025/11/16
49,不明,"以下の条件のとき、正味キャッシュフローはいくつ？
•営業収入：60
•営業支出：40
•減価償却費：10
•税率：30％",24,17,13,イ,"正味キャッシュフローは以下の二つの式で求められます。

①（営業収入ー営業支出ー減価償却）×（1-t）＋減価償却費
＝（６０−４０−１０）×０.７＋１０
＝１７

②（営業収入−営業支出）×（1 − t）＋ 減価償却費 × 税率…",52,60,1.99126E+18,1.99163E+18,2025/11/19
50,財務・会計,PBRが1.5倍、配当性向が25％、配当利回りが3％のとき、ROEとして最も適切なのはどれ？,,,,ウ,"PBR・配当性向・配当利回りの3つが揃うと、ROE（自己資本利益率）を求めることができます。

このとき使う関係式は以下のとおりです：
ROE ＝ PBR ÷ 配当性向 × 配当利回り

今回の条件に当てはめると、
👉 ROEは C（18％）…",37,67,1.99345E+18,1.99381E+18,2025/11/25
51,不明,"普通株式300万円、借入金200万円で構成される企業がある。
投資家の要求収益率は、株式12％・借入金4％とする（税率30％）。

この会社のWACCとして最も適切なのはどれ？",,,,イ,"WACCは、
資本構成 × 各資本の（税引後）コスト
で求めます。

資本構成は：
•株式比率：300／500＝0.6
•借入比率：200／500＝0.4

借入金は税効果を考えるため、
4％ ×（1−0.3）＝ 2.8％

WACCは次のとおり：
•株式：0.6 ×…",83,67,1.99525E+18,1.99561E+18,2025/11/30
52,不明,"A社株とB社株でポートフォリオを組む。
A社の期待収益率が12％、B社が4％のとき、
ポートフォリオの期待収益率を10％にするには、
A社への投資比率は何％にすべきか？",25%,50%,75%,ウ,"ポートフォリオの期待収益率は、

A社比率×12％ ＋（1−A社比率）×4％

で求める。

A社比率を x とすると：

12％×x ＋ 4％×(1−x) ＝ 10％
→ 12x ＋ 4 − 4x ＝ 10
→…",68,75,1.99634E+18,1.9967E+18,2025/12/3
53,財務・会計,"前期末の1株当たり配当が100円、
今後毎年3％の成長が見込まれている。
資本コストを8％とすると、
この株式の理論価格として最も適切なのはどれ？","1,250円","2,000円","2,060円",ウ,"理論株価 ＝ 来期配当 ÷（資本コスト − 成長率）

来期配当 ＝ 100円 × 1.03 ＝ 103円
理論株価 ＝ 103 ÷（0.08…",51,71,1.99901E+18,1.99924E+18,2025/12/11
54,運営管理,3Sの内容として、最も不適切なのはどれか？,標準化,単純化,平準化,ウ,"生産管理における3Sは、

・標準化（Standardization）…",81,100,2.00033E+18,2.00069E+18,2025/12/14
55,運営管理,一日の生産量が60個、ラインの稼働時間が8時間のとき、サイクルタイムとして最も適切なのはどれ？,1.25分,6分,8分,ウ,"サイクルタイムは、
「利用可能時間 ÷ 生産量」で求めます。

稼働時間8時間＝480分
480分 ÷ 60個 ＝ 8分

#中小企業診断士試験",89,100,2.00141E+18,2.00178E+18,2025/12/17
56,運営管理,指数平滑法の説明として、最も正しいのはどれ？,A. 新しい観測値ほど指数的に重みを減少,B. 平滑化定数は0より大きく1より小さい,C. 平滑化定数が小さいほど直近の実績値の重み大きい,イ,"指数平滑法では、平滑化定数αは 0＜α＜1 の範囲で設定されます。

Aは誤り。指数平滑法では、新しい観測値ほど重みは大きく、古いデータほど指数的に小さくなります。…",76,60,2.00359E+18,2.00395E+18,2025/12/23
57,経済学,完全競争下における企業の短期供給曲線に関して、最も不適切なのはどれ？,限界費用 = 平均費用の時は、損益分岐点,限界費用 > 平均可変費用の時は必ず黒字,限界費用 = 平均可変費用は操業停止点,イ,"完全競争企業は、
短期では「価格＝限界費用」で生産量を決めます。…",41,43,2.01808E+18,2.01844E+18,2026/2/1
58,経済学,IS曲線の傾きの特徴として、最も適切なのはどれ？,ア．投資の利子率弾力性が大きいと、傾きは急,イ．限界消費傾向が小さい時は、傾きが急,ウ．緊縮的財政政策の時は、右にシフト,イ,IS曲線は「財市場の均衡」を表し、利子率と所得の関係を示します。…,59,71,2.02606E+18,2.02642E+18,2026/2/23
59,経済学,"LM曲線の特徴として、
最も適切なのはどれ？",ア．貨幣需要の利子率弾力性が大きいと、傾きは急,イ．名目貨幣需要量が増えると、右にシフト,ウ．物価水準が下がると、左にシフト,イ,LM曲線は「貨幣市場の均衡」を表します。…,65,100,2.02678E+18,2.02714E+18,2026/2/25
60,経営情報システム,マルチメディアのファイル形式に関する記述として、最も適切なのはどれ？,ア．JPGとPNGは非可逆圧縮方式である,イ．JPGの方がGIFよりも色数が多い,ウ．AVIはストリーミング配信向けのファイル形式,イ,"JPGはフルカラー（約1677万色）を扱える画像形式です。
一方、GIFは最大256色までしか扱えません。…",49,67,2.02823E+18,2.02861E+18,2026/3/1
61,経営情報システム,データベースの正規化の説明として、最も適切なのはどれ？,,,,ア,"第二正規形では
主キーが単一キーの場合、
第一正規形と第二正規形が同じ形になることがあります。

イは誤り。
第三正規形では、…",50,17,2.02932E+18,2.02969E+18,2026/3/4
62,経営情報システム,"DNSの説明として、
最も適切なのはどれ？",ア．ドメイン名とIPアドレスを関連付ける,イ．通信に必要な設定情報を自動的に割り当てる,ウ．外部と内部ネットワークの中間に設けた区域,ア,"DNS（Domain Name System）は、ドメイン名とIPアドレスを対応付ける仕組みです。
例えば「",80,92,2.03077E+18,2.03113E+18,2026/3/8
63,経営情報システム,"公開鍵暗号方式の説明として、
最も適切なのはどれ？",ア. 受信者の公開鍵で暗号化する,イ. 送信者の秘密鍵で復号する,ウ. 代表的なアルゴリズムはDES,ア,"公開鍵暗号方式では、受信者の公開鍵で暗号化し、受信者の秘密鍵で復号します。
これにより、公開鍵を公開していても安全に通信できます。…",74,71,2.03186E+18,2.03222E+18,2026/3/11
64,経営情報システム,"スクラムの価値基準として、
最も不適切なものはどれ？",,,,ア,スクラムの価値基準は「確約・勇気・集中・公開・尊重」の5つです。…,30,50,2.03331E+18,2.03367E+18,2026/3/15
65,経営情報システム,ディープラーニングの説明として、最も適切なものはどれ？,ア．入力層・出力層のみで構成される,イ．特徴量を自動的に学習できる,ウ．少量のデータで高精度が出る,イ,ディープラーニングは、入力層・中間層（隠れ層）・出力層で構成され、中間層を多数重ねることが特徴です。…,80,71,2.03403E+18,2.03439E+18,2026/3/17
66,経営法務,"保証に関する記述として、
最も適切なのはどれ？",口頭でも効力を生じる,連帯保証人は催告の抗弁権なし,主債務より重い債務を負える,イ,A：保証契約は書面または電磁的記録によらなければ効力を生じません（民法446条2項）…,100,84,2.03584E+18,2.0362E+18,2026/3/22
67,経営法務,"債務不履行による契約解除に
関する記述として、
最も適切なのはどれ？",解除には帰責事由が必要,催告なしに解除できる場合あり,解除すると損害賠償請求権も消滅,イ,A：解除権の行使に債務者の帰責事由は不要です。帰責事由が必要なのは損害賠償請求（民法541・542条）…,76,75,2.03693E+18,2.03729E+18,2026/3/25
68,経営法務,法定相続人と法定相続分の組み合わせとして、最も適切なのはどれ？,A. 配偶者と子：配偶者 1/2・子 1/2,B. 配偶者と親：配偶者 1/3・親 2/3,C. 配偶者と兄弟姉妹：配偶者 2/3・兄弟 1/3,ア,"法定相続分は相続人の組み合わせによって異なります。
配偶者と子の場合は1/2ずつが正しい組み合わせです。…",86,54,2.03838E+18,2.03879E+18,2026/3/29
